	dataset	session	subject	space	type	participant_id	correlation	baseline_old	baseline_new	missing_old	missing_new
140	IBC	ses-hcp2	sub-07	fs32k	CondHalf	sub-07	1.0	0.0821105429428726	0.0821105429428726	13	13
141	IBC	ses-lyon1	sub-07	fs32k	CondHalf	sub-07	0.8318510905359826	0.20061166979378076	0.20061166979378076	16	16
142	IBC	ses-lyon2	sub-07	fs32k	CondHalf	sub-07	0.6320794454922064	0.16937632311606932	0.16937632311606932	16	16
143	IBC	ses-mathlang	sub-07	fs32k	CondHalf	sub-07	1.0	0.0838153505058034	0.0838153505058034	13	13
144	IBC	ses-mtt1	sub-07	fs32k	CondHalf	sub-07	1.0	0.20880544740620177	0.20880544740620177	14	14
145	IBC	ses-mtt2	sub-07	fs32k	CondHalf	sub-07	1.0	0.24909599965530257	0.24909599965530257	14	14
146	IBC	ses-preference	sub-07	fs32k	CondHalf	sub-07	1.0	0.15911795784872965	0.15911795784872965	10	10
147	IBC	ses-rsvplanguage	sub-07	fs32k	CondHalf	sub-07	1.0	0.1898659379279598	0.1898659379279598	14	14
148	IBC	ses-spatialnavigation	sub-07	fs32k	CondHalf	sub-07	0.41768126418175444	0.15230781925222783	0.1523078192522278	15	15
149	IBC	ses-tom	sub-07	fs32k	CondHalf	sub-07	0.9999999999999999	0.1015911081048315	0.1015911081048315	32	32
150	IBC	ses-archi	sub-08	fs32k	CondHalf	sub-08	1.0	0.1516259426623722	0.1516259426623722	1	1
151	IBC	ses-clips4	sub-08	fs32k	CondHalf	sub-08	1.0	0.14801963794615414	0.14801963794615416	0	0
152	IBC	ses-enumeration	sub-08	fs32k	CondHalf	sub-08	1.0	0.23147482722364307	0.2314748272236431	2	2
153	IBC	ses-hcp1	sub-08	fs32k	CondHalf	sub-08	0.9999999999999998	0.07865088212853043	0.07865088212853043	1	1
154	IBC	ses-hcp2	sub-08	fs32k	CondHalf	sub-08	0.9999999999999999	0.08118977840916225	0.08118977840916225	6	6
155	IBC	ses-lyon1	sub-08	fs32k	CondHalf	sub-08	0.9925648007253997	0.42443761944775316	0.42443761944775316	6	6
156	IBC	ses-lyon2	sub-08	fs32k	CondHalf	sub-08	0.6573518018526024	0.18762112624190255	0.18762112624190255	4	4
157	IBC	ses-mathlang	sub-08	fs32k	CondHalf	sub-08	1.0	0.09056498315681295	0.09056498315681295	7	7
158	IBC	ses-mtt1	sub-08	fs32k	CondHalf	sub-08	1.0	0.19438027288241647	0.19438027288241647	4	4
159	IBC	ses-mtt2	sub-08	fs32k	CondHalf	sub-08	1.0	0.1968829423532916	0.1968829423532916	2	2
160	IBC	ses-preference	sub-08	fs32k	CondHalf	sub-08	0.9999999999999999	0.21785514262825117	0.21785514262825117	4	4
161	IBC	ses-rsvplanguage	sub-08	fs32k	CondHalf	sub-08	1.0	0.22082082324905292	0.22082082324905292	3	3
162	IBC	ses-spatialnavigation	sub-08	fs32k	CondHalf	sub-08	0.31730964401691547	0.1335685681284421	0.13356856812844206	13	13
163	IBC	ses-tom	sub-08	fs32k	CondHalf	sub-08	1.0	0.09970712423552883	0.09970712423552883	4	4
164	IBC	ses-archi	sub-09	fs32k	CondHalf	sub-09	1.0	0.13200835766774605	0.13200835766774605	0	0
165	IBC	ses-clips4	sub-09	fs32k	CondHalf	sub-09	1.0	0.1531025500496125	0.15310255004961254	0	0
166	IBC	ses-enumeration	sub-09	fs32k	CondHalf	sub-09	1.0	0.25267517369125825	0.25267517369125825	5	5
167	IBC	ses-hcp1	sub-09	fs32k	CondHalf	sub-09	1.0	0.08342425653706925	0.08342425653706925	5	5
168	IBC	ses-hcp2	sub-09	fs32k	CondHalf	sub-09	0.9999999999999999	0.09312488614936174	0.09312488614936174	3	3
169	IBC	ses-lyon1	sub-09	fs32k	CondHalf	sub-09	0.838564053410712	0.2395032845313183	0.2395032845313183	3	3
170	IBC	ses-lyon2	sub-09	fs32k	CondHalf	sub-09	0.5996912696643434	0.16582957034092669	0.16582957034092669	1	1
171	IBC	ses-mathlang	sub-09	fs32k	CondHalf	sub-09	0.9999999999999999	0.09671653504740856	0.09671653504740856	2	2
172	IBC	ses-mtt1	sub-09	fs32k	CondHalf	sub-09	1.0	0.19867460867469253	0.19867460867469253	3	3
173	IBC	ses-mtt2	sub-09	fs32k	CondHalf	sub-09	1.0	0.2412533471156389	0.2412533471156389	4	4
174	IBC	ses-preference	sub-09	fs32k	CondHalf	sub-09	0.9999999999999998	0.15143732027249943	0.15143732027249943	3	3
175	IBC	ses-rsvplanguage	sub-09	fs32k	CondHalf	sub-09	1.0	0.2526101059240023	0.2526101059240023	3	3
176	IBC	ses-spatialnavigation	sub-09	fs32k	CondHalf	sub-09	0.45245019762869204	0.15031634318154538	0.15031634318154535	3	3
177	IBC	ses-tom	sub-09	fs32k	CondHalf	sub-09	1.0	0.10820314429198707	0.10820314429198707	1	1
178	IBC	ses-archi	sub-11	fs32k	CondHalf	sub-11	0.9999999999999998	0.15183559397998864	0.15183559397998864	1	1
179	IBC	ses-clips4	sub-11	fs32k	CondHalf	sub-11	1.0	0.1654836264633855	0.16548362646338552	0	0
180	IBC	ses-enumeration	sub-11	fs32k	CondHalf	sub-11	1.0	0.3493592800659246	0.34935928006592465	1	1
181	IBC	ses-hcp1	sub-11	fs32k	CondHalf	sub-11	1.0	0.09687907367847345	0.09687907367847345	0	0
182	IBC	ses-hcp2	sub-11	fs32k	CondHalf	sub-11	1.0	0.09344339841642862	0.09344339841642862	0	0
183	IBC	ses-lyon1	sub-11	fs32k	CondHalf	sub-11	0.8389295351086444	0.23995599669692338	0.23995599669692338	1	1
184	IBC	ses-lyon2	sub-11	fs32k	CondHalf	sub-11	0.6494344857745514	0.16691608989606088	0.16691608989606088	1	1
185	IBC	ses-mathlang	sub-11	fs32k	CondHalf	sub-11	1.0	0.07255130178607172	0.07255130178607172	0	0
186	IBC	ses-mtt1	sub-11	fs32k	CondHalf	sub-11	0.9999999999999999	0.19086848268094492	0.19086848268094492	0	0
187	IBC	ses-mtt2	sub-11	fs32k	CondHalf	sub-11	1.0	0.20721782111402479	0.20721782111402479	1	1
188	IBC	ses-preference	sub-11	fs32k	CondHalf	sub-11	1.0	0.19867158948722072	0.19867158948722072	1	1
189	IBC	ses-rsvplanguage	sub-11	fs32k	CondHalf	sub-11	1.0	0.3015530218956142	0.3015530218956142	2	2
190	IBC	ses-spatialnavigation	sub-11	fs32k	CondHalf	sub-11	0.47376161842259573	0.17091177526391246	0.17091177526391244	1	1
191	IBC	ses-tom	sub-11	fs32k	CondHalf	sub-11	0.9999999999999999	0.1521114480345456	0.1521114480345456	0	0
192	IBC	ses-archi	sub-12	fs32k	CondHalf	sub-12	1.0	0.1497513603288289	0.1497513603288289	2	2
193	IBC	ses-clips4	sub-12	fs32k	CondHalf	sub-12	1.0	0.14194031458848805	0.14194031458848808	0	0
194	IBC	ses-enumeration	sub-12	fs32k	CondHalf	sub-12	0.9999999999999999	0.26495340187990896	0.264953401879909	0	0
195	IBC	ses-hcp1	sub-12	fs32k	CondHalf	sub-12	1.0	0.08764326809211741	0.08764326809211741	0	0
196	IBC	ses-hcp2	sub-12	fs32k	CondHalf	sub-12	0.9999999999999999	0.09744075548997048	0.09744075548997048	2	2
197	IBC	ses-lyon1	sub-12	fs32k	CondHalf	sub-12	0.8455786564490758	0.2134889703426203	0.2134889703426203	0	0
198	IBC	ses-lyon2	sub-12	fs32k	CondHalf	sub-12	0.6433030077209899	0.1923270547786982	0.1923270547786982	4	4
199	IBC	ses-mathlang	sub-12	fs32k	CondHalf	sub-12	1.0	0.07829275212510847	0.07829275212510847	2	2
200	IBC	ses-mtt1	sub-12	fs32k	CondHalf	sub-12	1.0	0.24414755151285716	0.24414755151285716	1	1
201	IBC	ses-mtt2	sub-12	fs32k	CondHalf	sub-12	1.0	0.18802325812269266	0.18802325812269266	0	0
202	IBC	ses-preference	sub-12	fs32k	CondHalf	sub-12	1.0	0.20261488601365463	0.20261488601365463	4	4
203	IBC	ses-rsvplanguage	sub-12	fs32k	CondHalf	sub-12	1.0	0.23864793208891855	0.23864793208891855	1	1
204	IBC	ses-spatialnavigation	sub-12	fs32k	CondHalf	sub-12	0.43901288172687675	0.14689110980334827	0.14689110980334824	0	0
205	IBC	ses-tom	sub-12	fs32k	CondHalf	sub-12	1.0	0.1219133603453081	0.1219133603453081	1	1
206	IBC	ses-archi	sub-13	fs32k	CondHalf	sub-13	1.0	0.15397299321953004	0.15397299321953004	1	1
207	IBC	ses-clips4	sub-13	fs32k	CondHalf	sub-13	1.0	0.1609049351460089	0.1609049351460089	0	0
208	IBC	ses-enumeration	sub-13	fs32k	CondHalf	sub-13	1.0	0.23233998551382484	0.23233998551382487	5	5
209	IBC	ses-hcp1	sub-13	fs32k	CondHalf	sub-13	1.0	0.08794611866745361	0.08794611866745361	5	5
210	IBC	ses-hcp2	sub-13	fs32k	CondHalf	sub-13	1.0	0.09567864569668653	0.09567864569668653	13	13
211	IBC	ses-lyon1	sub-13	fs32k	CondHalf	sub-13	0.8382498116426741	0.21460969398272997	0.21460969398272997	4	4
212	IBC	ses-lyon2	sub-13	fs32k	CondHalf	sub-13	0.6114212648716176	0.19041393575731685	0.19041393575731685	3	3
213	IBC	ses-mathlang	sub-13	fs32k	CondHalf	sub-13	1.0	0.07124028486340978	0.07124028486340978	81	81
