sequence	scope	subject	step	status	elapsed_seconds	start_rss_mib	end_rss_mib	peak_rss_mib	peak_increase_mib	error
246	subject_step	123824	save_cifti	ok	2.0103061757981777	927.87109375	927.87109375	927.87109375	0.0	
247	subject	123824	subject_total	ok	14.503362517803907	929.1328125	927.87109375	3186.14453125	2257.01171875	
248	subject_step	123925	load_subject_data	ok	4.778957650065422	927.87109375	927.87109375	3189.17578125	2261.3046875	
249	subject_step	123925	build_network_timecourse	ok	0.7447695452719927	927.87109375	954.92578125	954.92578125	27.0546875	
250	subject_step	123925	connectivity_fingerprint	ok	5.54355176910758	954.92578125	1046.46875	1826.5546875	871.62890625	
251	subject_step	123925	build_output_metadata	ok	0.0672343298792839	1046.46875	1046.46875	1046.46875	0.0	
252	subject_step	123925	create_cifti	ok	1.486034993082285	1046.46875	928.87890625	1046.46875	0.0	
253	subject_step	123925	save_cifti	ok	2.228928342461586	928.87890625	928.87890625	928.87890625	0.0	
254	subject	123925	subject_total	ok	15.164602160453796	927.87109375	928.87890625	3189.17578125	2261.3046875	
255	subject_step	124422	load_subject_data	ok	4.896019842475653	928.87890625	928.87890625	3156.40625	2227.52734375	
256	subject_step	124422	build_network_timecourse	ok	0.9452958237379789	928.87890625	956.18359375	956.18359375	27.3046875	
